Date,Open,High,Low,Close,Volume
"Oct 08, 2021",133.51,134.5,131,132,33.20K
"Oct 07, 2021",131.5,137,131.5,136.14,44.70K
"Oct 06, 2021",134,134.7,128,128.5,26.90K
"Oct 05, 2021",137.11,137.11,135,136.04,11.70K
"Oct 04, 2021",139.99,140,139.65,139.88,2.20K
"Oct 01, 2021",141.9,142,138,141.04,22.40K
"Sep 30, 2021",136.5,145,134,140.86,96.60K
"Sep 29, 2021",135.1,137.5,133.1,136.07,17.20K
"Sep 28, 2021",135,137.03,133,136.76,9.90K
"Sep 27, 2021",137,139,126.28,137.03,21.30K
"Sep 24, 2021",136.5,137.13,136.5,136.51,12.00K
"Sep 23, 2021",138.5,140,136,139.4,12.60K
"Sep 22, 2021",137.01,139.5,134,138.91,32.00K
"Sep 21, 2021",139.1,139.5,137.5,138.59,21.40K
"Sep 20, 2021",139.01,140,138.2,139.14,7.80K
"Sep 17, 2021",142,142.72,139.01,141.44,25.40K
"Sep 16, 2021",142,144,140,142.72,16.50K
"Sep 15, 2021",140.01,143,137,141.15,34.40K
"Sep 14, 2021",145.19,145.19,136,141.28,99.90K
"Sep 13, 2021",144.01,145.5,142.9,145.19,27.00K
"Sep 10, 2021",145,145.75,143,144.2,118.70K
"Sep 09, 2021",142.1,145,142.1,143.46,179.60K
"Sep 08, 2021",148.06,149.9,141.05,143.56,46.60K
"Sep 07, 2021",149,151.99,147,148.01,88.90K
"Sep 06, 2021",153.7,153.7,150,150.08,24.80K
"Sep 03, 2021",158,161.99,150.05,152.76,367.80K
"Sep 02, 2021",163.99,163.99,157.6,158.19,23.50K
"Sep 01, 2021",164.1,166,161.6,162.79,56.20K
"Aug 31, 2021",162.48,174.25,160,168.94,123.30K
"Aug 30, 2021",160,164.89,158,162.48,39.10K
"Aug 27, 2021",160,161.9,156.01,158.87,25.10K
"Aug 26, 2021",159,163,156,160.63,27.90K
"Aug 25, 2021",160.14,161,159.1,159.89,13.00K
"Aug 24, 2021",164.4,164.5,161.01,163.08,33.50K
"Aug 23, 2021",162.05,165,160,161.89,34.70K
"Aug 20, 2021",155.2,164.97,155.13,162.05,133.70K
"Aug 17, 2021",161.5,161.5,154.82,155.01,32.00K
"Aug 16, 2021",156.65,157.99,153.51,154.03,112.20K
"Aug 13, 2021",156,158.99,154,156.65,9.20K
"Aug 12, 2021",160,160,155.5,158.77,40.10K
"Aug 11, 2021",162.85,165,157,163.16,98.60K
"Aug 10, 2021",161,162.39,160,161.21,23.60K
"Aug 09, 2021",163,163.9,158,160.56,40.80K
"Aug 06, 2021",166.01,167.5,160,161.78,35.40K
"Aug 05, 2021",170,170,167.81,168.26,5.80K
"Aug 04, 2021",171.5,172.74,169.07,169.47,32.70K
"Aug 03, 2021",174.5,174.88,171.01,172.1,24.00K
"Aug 02, 2021",175.3,177.25,173.11,173.92,113.60K
"Jul 30, 2021",174.95,180,173.65,177.88,180.90K
"Jul 29, 2021",178.5,178.75,173.65,174.99,71.80K
"Jul 28, 2021",176,178.3,172.5,177.77,33.50K
"Jul 27, 2021",179.5,179.5,176.7,178.11,30.50K
"Jul 26, 2021",179.92,179.92,177.76,178.19,10.30K
"Jul 23, 2021",176.8,180.75,176.5,179.92,59.00K
"Jul 19, 2021",176.65,179.9,176.65,179.9,19.40K
"Jul 16, 2021",178,179.5,177.04,179.27,7.50K
"Jul 15, 2021",179.4,179.4,176.17,177.94,35.10K
"Jul 14, 2021",176.24,177.99,176,177.81,35.70K
"Jul 13, 2021",176.51,178.8,176.51,178.31,14.70K
"Jul 12, 2021",178.25,178.25,176.12,177.88,8.00K
"Jul 09, 2021",178,178.3,176.1,177.78,60.10K
"Jul 08, 2021",177.46,179,177.1,178.77,22.60K
"Jul 07, 2021",177.75,178.45,176,177.79,39.50K
"Jul 06, 2021",178.5,178.99,177.24,177.68,9.10K
"Jul 05, 2021",178,179.95,177,178.49,57.20K
"Jul 02, 2021",179.95,179.95,177,178.73,21.90K
"Jul 01, 2021",181.5,181.5,178.1,179.08,43.20K
"Jun 30, 2021",180,183.45,177.25,179.82,552.20K
"Jun 29, 2021",180,181,176.15,179.66,73.00K
"Jun 28, 2021",178.25,180,176,179.16,64.80K
"Jun 25, 2021",180.5,180.5,177,178.54,58.90K
"Jun 24, 2021",180,180,178.02,179.6,43.80K
"Jun 23, 2021",180.54,181.9,178.6,179.81,81.20K
"Jun 22, 2021",180,181.4,179,180.54,86.10K
"Jun 21, 2021",178.51,181.45,178.18,180.82,11.40K
"Jun 18, 2021",179,181.49,178.3,180.41,63.90K
"Jun 17, 2021",178.25,180.7,177.95,179.57,56.30K
"Jun 16, 2021",179.8,179.8,176.25,178.88,45.70K
"Jun 15, 2021",179.39,182.5,178.5,180.14,188.70K
"Jun 14, 2021",178.19,182,177.5,179.78,55.60K
"Jun 11, 2021",178,178.49,176,177.17,27.50K
"Jun 10, 2021",178.5,178.95,176.1,178.06,49.80K
"Jun 09, 2021",179.99,180,177,178.59,21.20K
"Jun 08, 2021",179.45,179.45,175.56,178.72,13.80K
"Jun 07, 2021",178.1,179.75,176.05,178.13,46.10K
"Jun 04, 2021",178.13,179.4,176.01,178.32,162.50K
"Jun 03, 2021",177.01,181.5,177.01,179.64,61.30K
"Jun 02, 2021",181,181,175,178.79,147.30K
"Jun 01, 2021",178.25,181.4,175,179.24,236.60K
"May 31, 2021",174.9,182,173.01,181.28,389.30K
"May 28, 2021",170,175,168.26,173.98,187.30K
"May 27, 2021",169.9,171,167.25,170.57,57.60K
"May 26, 2021",166,170,165.3,168.54,165.70K
"May 25, 2021",162.35,166.66,162.35,165.24,144.10K
"May 24, 2021",161.75,165.3,160.55,161.42,158.90K
"May 21, 2021",158.08,159.8,158,159.09,39.60K
"May 20, 2021",161,161,157.01,159.02,66.70K
"May 19, 2021",160.99,161,159,160.15,55.00K
"May 18, 2021",160,161.5,159,159.9,45.00K
"May 17, 2021",163.5,165,158.5,160.19,165.20K
"May 06, 2021",164,164,160,161.23,10.80K
"May 05, 2021",161.08,163.99,160,161.88,143.00K
"May 04, 2021",161.5,164,158.01,163.33,13.00K
"May 03, 2021",164,164,158.16,160.97,40.00K
"Apr 30, 2021",165.01,166.7,160.5,164.97,37.70K
"Apr 29, 2021",166.44,166.9,164.01,164.93,62.50K
"Apr 28, 2021",167.9,169.5,161.1,167.98,54.10K
"Apr 27, 2021",167.5,170.01,166,168.25,90.40K
"Apr 26, 2021",166.25,170.99,166,170.01,168.10K
"Apr 23, 2021",167.01,170,165.55,169.05,51.50K
"Apr 22, 2021",167.3,172,165,170.44,77.60K
"Apr 21, 2021",168.03,169.4,167,168.88,31.10K
"Apr 20, 2021",168.5,169.95,168,168.31,37.00K
"Apr 19, 2021",166.1,169.5,166,168,18.70K
"Apr 16, 2021",167.04,171.94,166.1,170.31,188.90K
"Apr 15, 2021",169,172,165.9,167.92,73.30K
"Apr 14, 2021",170,170.05,169,169,11.40K
"Apr 13, 2021",172,173,169.5,170,10.70K
"Apr 12, 2021",169,176,168.5,171.84,151.30K
"Apr 09, 2021",166.52,170.5,166.11,169.87,64.90K
"Apr 08, 2021",167,171,167,169.78,81.80K
"Apr 07, 2021",165.1,170.49,165,166.22,45.70K
"Apr 06, 2021",160.4,169.99,160.4,168.86,36.30K
"Apr 05, 2021",161.5,161.5,160,160.04,12.50K
"Apr 02, 2021",164.4,168,161.25,164.94,42.40K
"Apr 01, 2021",167,167.99,164.4,164.4,28.90K
"Mar 31, 2021",164,171.99,164,169.69,80.80K
"Mar 30, 2021",160,167.9,160,165.9,14.10K
"Mar 29, 2021",166.1,166.1,158.11,160.1,56.90K
"Mar 26, 2021",165.5,168,165,165.64,48.60K
"Mar 25, 2021",174.99,174.99,168.5,169.8,154.00K
"Mar 24, 2021",170,175,168,173.46,195.80K
"Mar 22, 2021",163,175.3,158.07,172.13,161.80K
"Mar 19, 2021",160,164.9,160,163.11,230.40K
"Mar 18, 2021",165,167,163,163.14,41.90K
"Mar 17, 2021",170.49,170.5,160.1,166.43,66.10K
"Mar 16, 2021",165.51,171,165.51,166.61,37.10K
"Mar 15, 2021",164.26,168.21,164,168.04,327.90K
"Mar 12, 2021",154,164.54,152.5,162.19,223.00K
"Mar 11, 2021",159,159,153,154.02,117.90K
"Mar 10, 2021",164.9,164.9,158,159.53,72.00K
"Mar 09, 2021",173,173,160.8,162,235.60K
"Mar 08, 2021",183,183,173,173.83,125.20K
"Mar 05, 2021",184.99,184.99,180,182.09,39.90K
"Mar 04, 2021",186,191.22,182,182.4,106.10K
"Mar 03, 2021",190.7,192,189,191.22,96.80K
